year,month,region,district,site_code,product_code,stock_initial,stock_received,stock_distributed,stock_adjustment,stock_end,average_monthly_consumption,stock_stockout_days,stock_ordered
2016,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,48,0,0,0,48,0,0,0.0
2016,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,3,48,45,2,0,0.0
2016,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,45,0,3,0,42,2,0,0.0
2016,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,42,0,0,-28,14,2,0,0.0
2016,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,1,0,0.0
2016,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,-14,0,0,0,3.0
2016,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,0,0,6.0
2016,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,18,0,0,18,0,0,0.0
2016,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,18,0,0,0,18,0,0,
2016,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,18,0,2,0,16,1,0,0.0
2016,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,1,0,0.0
2017,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,1,0,0.0
2017,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,0,0,16,0,0,0.0
2017,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,16,0,6,0,10,2,0,0.0
2017,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,10,4,0,0,14,2,0,0.0
2017,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,2,0,0.0
2017,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,0,0,0.0
2017,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,0,0,14,0,0,0.0
2017,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,14,0,2,0,12,1,0,0.0
2017,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,12,0,4,0,8,2,0,0.0
2017,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,2,0,0.0
2017,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,1,0,0.0
2017,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,0,0,8,0,0,0.0
2018,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,8,0,1,0,7,0,0,0.0
2018,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,7,0,0,0,7,0,0,0.0
2018,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,7,0,2,0,5,1,0,0.0
2018,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,1,0,4,1,0,10.0
2018,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,4,0,4,0,0,2,0,15.0
2018,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,2,0,0.0
2018,7,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,1,0,20.0
2018,8,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,0,0,30.0
2018,9,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,0,0,5.0
2018,10,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,0,0,0.0
2018,11,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,5,0,0,5,0,0,10.0
2018,12,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,2,0,3,1,0,2.0
2019,1,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,3,0,3,0,0,2,0,10.0
2019,2,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,2,0,10.0
2019,3,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,0,0,0,0,1,0,5.0
2019,4,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,0,5,0,0,5,0,0,5.0
2019,5,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,5,0,1,0,4,0,0,0.0
2019,6,INDENIE-DJUABLIN,ABENGOUROU,C4001,AS27132,4,5,0,0,9,0,0,0.0
